latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.0,32.800003,876.0,10800,Europe/Istanbul,+03

time,temperature_2m (°C),relativehumidity_2m (%)
2023-03-01T00:00,6.8,90
2023-03-01T01:00,6.4,90
2023-03-01T02:00,6.4,90
2023-03-01T03:00,6.4,90
2023-03-01T04:00,6.5,89
2023-03-01T05:00,6.4,89
2023-03-01T06:00,5.9,90
2023-03-01T07:00,5.6,91
2023-03-01T08:00,5.8,92
2023-03-01T09:00,7.5,93
2023-03-01T10:00,11.4,78
2023-03-01T11:00,13.8,64
2023-03-01T12:00,15.7,55
2023-03-01T13:00,17.2,49
2023-03-01T14:00,18.4,42
2023-03-01T15:00,19.0,38
2023-03-01T16:00,19.2,36
2023-03-01T17:00,18.9,35
2023-03-01T18:00,18.0,38
2023-03-01T19:00,15.6,48
2023-03-01T20:00,13.5,53
2023-03-01T21:00,11.7,59
2023-03-01T22:00,9.9,73
2023-03-01T23:00,8.5,79
2023-03-02T00:00,7.6,83
2023-03-02T01:00,6.8,86
2023-03-02T02:00,6.3,87
2023-03-02T03:00,5.8,88
2023-03-02T04:00,5.1,90
2023-03-02T05:00,4.8,89
2023-03-02T06:00,5.0,89
2023-03-02T07:00,5.4,88
2023-03-02T08:00,6.1,86
2023-03-02T09:00,8.0,82
2023-03-02T10:00,11.3,69
2023-03-02T11:00,13.5,61
2023-03-02T12:00,15.1,55
2023-03-02T13:00,16.2,51
2023-03-02T14:00,16.9,46
2023-03-02T15:00,17.1,41
2023-03-02T16:00,17.1,38
2023-03-02T17:00,16.8,37
2023-03-02T18:00,15.8,42
2023-03-02T19:00,13.9,54
2023-03-02T20:00,11.0,64
2023-03-02T21:00,8.6,76
2023-03-02T22:00,7.3,91
2023-03-02T23:00,6.7,94
2023-03-03T00:00,5.9,96
2023-03-03T01:00,5.4,97
2023-03-03T02:00,4.8,98
2023-03-03T03:00,4.4,98
2023-03-03T04:00,3.9,99
2023-03-03T05:00,3.8,100
2023-03-03T06:00,3.7,100
2023-03-03T07:00,3.4,100
2023-03-03T08:00,3.6,100
2023-03-03T09:00,6.0,96
2023-03-03T10:00,9.7,87
2023-03-03T11:00,12.0,74
2023-03-03T12:00,13.7,64
2023-03-03T13:00,14.8,58
2023-03-03T14:00,14.4,57
2023-03-03T15:00,14.7,55
2023-03-03T16:00,14.6,52
2023-03-03T17:00,14.2,49
2023-03-03T18:00,13.3,51
2023-03-03T19:00,11.9,55
2023-03-03T20:00,10.1,66
2023-03-03T21:00,10.0,62
2023-03-03T22:00,10.4,59
2023-03-03T23:00,9.6,62
2023-03-04T00:00,8.7,66
2023-03-04T01:00,8.0,69
2023-03-04T02:00,7.3,72
2023-03-04T03:00,6.5,75
2023-03-04T04:00,6.0,77
