latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.0,32.800003,876.0,10800,Europe/Istanbul,+03

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C)
2023-03-01,19.2,5.6,11.4
2023-03-02,17.1,4.8,10.3
2023-03-03,14.8,3.4,9.1
2023-03-04,12.9,3.9,8.5
2023-03-05,11.4,4.8,7.7
2023-03-06,9.7,3.1,5.9
2023-03-07,11.7,1.7,6.5
2023-03-08,13.9,2.4,8.0
2023-03-09,14.3,4.5,9.2
2023-03-10,14.5,4.6,9.8
2023-03-11,16.1,6.1,10.9
2023-03-12,8.8,6.2,8.1
2023-03-13,5.9,1.9,4.0
2023-03-14,8.5,0.5,4.0
2023-03-15,13.7,2.1,7.7
2023-03-16,12.5,2.2,7.7
2023-03-17,9.6,1.7,6.3
2023-03-18,10.7,4.3,6.9
2023-03-19,8.3,3.2,6.0
2023-03-20,12.9,2.3,7.4
2023-03-21,14.1,0.6,7.6
2023-03-22,14.3,2.7,9.1
2023-03-23,11.1,5.6,7.9
2023-03-24,12.8,3.4,8.4
2023-03-25,14.7,1.0,8.9
2023-03-26,16.1,4.5,10.3
2023-03-27,17.1,4.3,10.1
2023-03-28,12.5,5.4,8.4
2023-03-29,5.4,4.7,NaN
2023-03-30,NaN,NaN,NaN
