latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.0,32.800003,876.0,10800,Europe/Istanbul,+03

time,weathercode (wmo code)
2023-03-01,51
2023-03-02,2
2023-03-03,53
2023-03-04,3
2023-03-05,61
2023-03-06,61
2023-03-07,51
2023-03-08,2
2023-03-09,51
2023-03-10,3
2023-03-11,61
2023-03-12,61
2023-03-13,71
2023-03-14,73
2023-03-15,3
2023-03-16,55
2023-03-17,61
2023-03-18,53
2023-03-19,55
2023-03-20,3
2023-03-21,2
2023-03-22,51
2023-03-23,55
2023-03-24,3
2023-03-25,2
2023-03-26,51
2023-03-27,3
2023-03-28,61
2023-03-29,53
2023-03-30,NaN
